Enrollment ID,Internal Class ID,STUDENT: Person ID
164108,42857,17422
163697,42857,15090
163573,42857,13429
163523,42857,13422
171260,42857,12787
171156,42857,12788
94002,41722,10820
219941,44512,10810
94001,41722,10819
219909,44512,10763
219900,44512,10739
94000,41722,10716
93999,41722,10710
219880,44512,10712
219841,44512,10670
219814,44512,10664
93998,41722,10646
163042,42857,10652
109945,41722,10553
93997,41722,10547
219671,44512,10491
219683,44512,10493
219578,44512,10436
171039,42857,10423
109708,41722,10393
162619,42857,10373
162579,42857,10367
93995,41722,10351
93994,41722,10305
93993,41722,10260
93992,41722,10214
93991,41722,10030
221391,44512,234789
221340,44512,234735
221584,44512,235270
221840,44512,236764
318820,47558,242448
318819,47558,241503
318818,47558,240535
318822,47558,245719
318821,47558,244463
318823,47558,248498
318811,47558,15909
318815,47558,16597
318812,47558,16589
318813,47558,16590
318814,47558,16592
318816,47558,17406
318817,47558,92082
61117,38562,16591
66194,38562,16655
56580,38562,10065
39661,34776,10057
43787,34776,10058
56548,38562,10061
44561,34776,10146
43936,34776,10127
45962,34776,10103
44759,34776,10105
40499,34776,10107
43487,34776,10082
41946,34776,10218
56929,38562,10162
40060,34776,10259
57220,38562,10247
66195,38562,10301
42677,34776,10306
64979,38562,10292
57365,38562,10290
41882,34776,10313
65927,38562,10473
59728,38562,10753
65118,38562,10766
49505,34776,10806
45278,34777,10317
41381,34777,10335
42522,34777,10359
44766,34777,10284
44394,34777,10287
39723,34777,10238
42855,34777,10261
44195,34777,10216
39978,34777,10212
43924,34777,10085
44993,34777,10101
42676,34777,10133
43094,34777,10078
43963,34777,10028
322406,48507,15081
322410,48507,92035
322408,48507,89606
322409,48507,90616
322411,48507,230302
322407,48507,20356
322419,48507,256509
322413,48507,240535
322414,48507,240663
322412,48507,239989
322415,48507,240875
322416,48507,240997
322417,48507,241048
322418,48507,243388
322420,48507,270862
60792,38563,15088
60218,38563,10825
46051,34778,10800
59045,38563,10644
59419,38563,10698
44934,34778,10031
56420,38563,10022
45945,34778,10012
41668,34778,10013
56588,38563,10066
56569,38563,10063
45020,34778,10059
43193,34778,10131
46160,34778,10083
57098,38563,10201
45443,34778,10221
57167,38563,10224
57033,38563,10181
43805,34778,10264
45956,34778,10266
44270,34778,10269
57260,38563,10252
42647,34778,10357
39669,34778,10365
43279,34778,10333
57536,38563,10337
58440,38563,10485
58686,38563,10527
58778,38564,10536
58412,38564,10481
43172,34779,10315
58051,38564,10428
57230,38564,10248
44316,34779,10239
45327,34779,10243
41210,34779,10244
57414,38564,10298
44438,34779,10170
57155,38564,10222
41945,34779,10194
57116,38564,10209
56760,38564,10111
45028,34779,10129
41232,34779,10147
49310,34779,10149
56898,38564,10159
44554,34779,10056
39885,34779,10055
46120,34779,10053
56509,38564,10043
44077,34779,10011
44703,34779,10010
59095,38564,10651
61007,38564,15912
65904,38565,17417
59115,38565,10653
59046,38565,10644
59064,38565,10647
65137,38565,10693
59384,38565,10695
60005,38565,10807
44461,34780,10009
43133,34780,10014
43513,34780,10033
68624,38565,10043
56532,38565,10045
52880,34780,10059
56558,38565,10062
52826,34780,10123
56779,38565,10114
45802,34780,10101
52941,34780,10103
52893,34780,10194
42011,34780,10221
39823,34780,10179
43330,34780,10242
52882,34780,10245
52833,34780,10261
57287,38565,10256
58039,38565,10427
58019,38565,10425
52838,34780,10312
57575,38565,10346
166840,42858,10320
93786,41711,10352
162611,42858,10372
162798,42858,10477
162726,42858,10432
93788,41711,10535
162898,42858,10529
93785,41711,10272
93784,41711,10178
110548,41711,10171
93783,41711,10168
93781,41711,10087
93782,41711,10120
93792,41711,10822
163378,42858,12782
93791,41711,10773
163133,42858,10699
163140,42858,10700
93789,41711,10654
93790,41711,10660
163467,42858,12793
163590,42858,13432
163583,42858,13431
93793,41711,17479
163815,42858,15914
163754,42858,15850
93794,41711,20364
164253,42858,20355
165183,42858,235236
93808,41712,235281
93807,41712,231415
166046,42859,243176
163722,42859,15846
163982,42859,17404
163564,42859,13428
163611,42859,13442
162953,42859,10552
163148,42859,10701
163184,42859,10714
93805,41712,10769
